id,userId,avatar,teamName,teamTotalNumber,teamLevel,motionTeamLevel,createTime,teamTotalWithdrawal,teamTotalRecharge,teamTotalInvest,personalKickback,personalTotalRecharge,personalTotalInvest,personalTotalWithdrawal,personalInvestIsAuth,teamTotalStep,teamTotalIntegral,teamTotalCoffee,personalTotalStep,personalTotalIntegral,personalTotalCoffee,level,motionLevel,idcardAuthStatus,authGcm,pid,pids
2,65199054,,88888801,7631,0,0,1761717825000,34557115.0,53160654.26,58064720.0,52.0,1481000.0,2214690.0,0.0,0,65859065,445299.32,41999.56,0,4.72,12.0,9,0,,-1,88888888,
9364,86270534,,100123456,32063,1,0,1755257790000,83831995.7,98915567.97,127957620.0,2202.0,0.0,0.0,0.0,0,253291145,1084722.47,229488.62,0,37.37,99.0,0,0,,-1,88888888,
8,28795450,,62642070,8035,0,0,1761360820000,48339731.0,70066412.26,72364014.0,0.0,0.0,0.0,0.0,0,57628232,391806.59,154847.02,0,0.74,1.0,0,0,,-1,88888888,
